Family Office,Metro Area,AUM,LinkedIn,Website,Notes,City,Description,Connections,Action Items:,Discussed
"Marco Polo, Inc.",San Diego,"$150,000,000.00 ",,http://www.marcopolodwh.com,,San Diego,Marco Polo is a private single family office (SFO).,,,
Isaac Capital Group,San Diego,"$133,907,511.00 ",,https://www.isaac.com/,,San Diego,"Isaac Organization is an International private investment firm based in San Diego, California, with offices in Las Vegas, Nevada and Ottawa, Canada. The firm makes highly-selective long-term investments in companies with strong management. Our investments range from a variety of industries and focuses on creating value through growth and superior performance. Our comprehensive approach to due diligence execution, research and market analysis, and Identifying Unique Opportunities, has allowed expansive growth and development. Isaac Capital Group is the largest shareholder in Live Ventures Incorporated, a NASDAQ publicly traded company formerly known as LiveDeal, Inc.",,,
Pecan Family Office,San Diego,"$100,000,000.00 ",,https://www.linkedin.com/company/pecan-family-office/,,San Diego,"Investment Management Company located in San Diego, CA founded in 2015.",,,
Ten Oaks Group,Charlotte,"$15,000,000,000.00 ",https://www.linkedin.com/company/ten-oaks-group/posts/?feedView=all,https://tenoaksgroup.com/,"Exclusive focus on Corp. Divestitures
",Charlotte,"Ten Oaks is a distinguished wealth management firm specializing in providing comprehensive financial services to high-net-worth families and individuals. The firm’s mission is to deliver customized financial solutions that ensure the preservation and growth of wealth over the long term. Ten Oaks offers a broad range of services, including investment management, estate planning, tax advisory, and philanthropic consulting. The firm is committed to building enduring relationships with clients, based on trust, transparency, and a deep understanding of their unique financial needs and goals. By adopting a holistic approach to wealth management, Ten Oaks ensures that all aspects of a client’s financial life are seamlessly integrated and aligned with their overall objectives.",Nada,,
Zwick Partners,Charlotte,"$750,000,000.00 ",https://www.linkedin.com/in/johannes-zwick-881a0299/,https://www.zwickpartners.com/,"2nd:  Eric Eubank (Pamlico) connected to Johannes Zwick
They are focused on Micro/mid mkt buyouts; ",Charlotte,"Zwick Partners LP is a single-family office located in Charlotte, NC. We primarily focus on making equity investments via growth capital, recapitalizations, or buy-outs, but have invested in other parts of the capital structure as well. We seek high quality small business opportunities in the U.S. and parts of Western Europe.",2nd Tier Connections,"TAC connect with Eric Eubank of Pamlico Capital
",
Cornwell Capital,Charlotte,"$250,000,000.00 ",https://www.linkedin.com/search/results/all/?fetchDeterministicClustersOnly=true&heroEntityKey=urn%3Ali%3Aorganization%3A10808239&keywords=cornwell%20capital&origin=RICH_QUERY_TYPEAHEAD_HISTORY&position=0&searchId=54099ec9-18b4-430b-a737-a496ef477d5e&sid=p1g&spellCorrectionEnabled=true,https://cornwellcapital.com/,,Charlotte,"Cornwell Capital is a family office pursuing direct investments in lower middle market companies. We are a father – son team based in Charlotte, NC. We have spent our careers operating family businesses, and the principles which guided these businesses now provide the foundation for our company. Three values which are common threads woven throughout our businesses of the past and present are integrity, transparency, and relationships. We believe these values are essential to building a successful business and we strive to never lose sight of them.",Nada,,
Broyhill Asset Management LLC,Charlotte,"$150,000,000.00 ",https://www.linkedin.com/in/pavese/,https://www.broyhillasset.com/,No evidence of fund investing; looks like real estate focus; ,Lenoir,Family office that was started by Chris Pavese.,1st Tier Connections,"Connected to Mark Roberts, Matt Blind, Chris Pinkus and Logan Allin (Fin); 
",
JAWS Estates Capital,Miami,"$120,000,000,000.00 ",,https://www.jawsvc.com/,,Miami Beach,"JAWS Estates Capital, LLC (“Jaws”) is the family office of Barry S. Sternlicht, who founded Starwood Capital in 1991, serving as Chairman and Chief Executive Officer. Starwood Capital is a private alternative investment firm focused on global real estate, hotel management, oil and gas and energy infrastructure with over $120 billion assets under management. Jaws invests across all stages and industries but has particular expertise in early-stage consumer and technology companies.",,,
Pioneer Wealth Management,Miami,"$38,000,000,000.00 ",,https://www.piowealth.com/,,North Miami Beach,"The Pioneer Wealth Management Group is an independent private company and was established in 1986. With constant attention to our clients’ needs in an ever-changing investment climate, our offering has evolved with our clients around the world and the marketplace. Pioneer services include Holistic Financial Planning, Wealth Management, and Family Office services for affluent clients and high-net worth and ultra-high-net worth families.",,,
ASI Family Office,Miami,"$2,000,000,000.00 ",,http://www.asifo.com/,,Miami,"ASI Family Office is a premier wealth management and advisory firm dedicated to serving the unique needs of affluent families and individuals. With a strong commitment to personalized service and comprehensive financial solutions, ASI Family Office focuses on providing tailored strategies that align with the specific goals and aspirations of each client. The firm offers a broad spectrum of services, including investment management, estate planning, tax advisory, and philanthropic consulting. By fostering long-term relationships built on trust and transparency, ASI Family Office aims to safeguard and enhance the wealth of its clients across generations. The firm operates with a client-centric approach, ensuring that every financial plan is meticulously crafted to reflect the personal values and objectives of its clients.",,,
"JM Family Enterprises, Inc.",Miami,"$2,000,000,000.00 ",,https://jmfamily.com/,,Deerfield Beach,"JM Family Enterprises, Inc. was founded by automotive legend, Jim Moran in 1968. It is a privately held company with $18 billion in revenue and more than 5,000 associates. Rooted in automotive and united in its strong culture and core values, JM Family is in the business of helping other businesses succeed. As a long-term partner, it is invested in its companies, associates and its communities. Driven by exceptional performance, current subsidiaries are in the automotive, financial services, franchising and specialty distribution industries.",,,
Adamo Capital Family Office,Miami,"$1,000,000,000.00 ",,https://adamo.capital/,,Miami,"Adamo Capital Family Office is a leading wealth management firm dedicated to serving the comprehensive financial needs of affluent families and individuals. The firm’s mission is to provide bespoke financial solutions that ensure long-term wealth preservation and growth, tailored to the unique goals and values of each client. Adamo Capital Family Office offers a full spectrum of services, including investment management, estate planning, tax advisory, and philanthropic consulting. The firm is committed to building deep, lasting relationships based on trust and transparency, allowing it to deliver highly personalized advice and strategies. Adamo Capital Family Office operates with a client-centric approach, emphasizing a thorough understanding of each client’s financial landscape and aspirations.",,,
Allie Family Office,Miami,"$1,000,000,000.00 ",,,,Miami,"Allie Family Office is a distinguished private advisory firm dedicated to managing the intricate financial needs of high-net-worth families and individuals. The firm’s primary objective is to provide comprehensive wealth management solutions that ensure long-term financial stability and growth for its clients. Allie Family Office offers an array of services, including investment management, estate planning, tax advisory, and philanthropic consulting. The firm’s approach is deeply personalized, with a commitment to understanding and aligning with the unique values, goals, and aspirations of each client. By fostering trust and transparency, Allie Family Office builds enduring relationships that enable it to deliver bespoke financial strategies tailored to the specific needs of its clientele.",,,
M2A Family Office,Miami,"$1,000,000,000.00 ",,https://-,,Miami,"M2A Family Office, LLC, based in Miami, Florida, was established in 2018 by Michael S. Liebowitz. It is a private firm that manages both business and philanthropic activities with the goal of having a positive impact on future generations. The office is involved in various investment classes, including public securities, direct investing, private equity, real estate, and venture capital.",,,
Strenta Investment Management,Miami,"$669,180,000.00 ",,https://N/A,,Weston,"Strenta Investment Management is a financial advisory firm based in Weston, Florida. The company primarily manages assets for pooled investment vehicles, and as of the latest data, it has $669.18 million in assets under management (AUM). All of these assets are managed in discretionary accounts, where investment decisions are made on behalf of clients. The firm's client base is entirely composed of foreign persons or entities, and it also advises several private funds​​​​. Strenta Investment Management is involved in private funds, requiring a minimum investment of $1,000,000 from non-related persons for each fund​​.",,,
"KrisDan Management, Inc. (Single-family Office)",Miami,"$500,000,000.00 ",,,,Naples,"KrisDan Management, Inc. is a single-family office dedicated to managing and preserving the wealth of a high-net-worth family. As a privately held entity, KrisDan Management offers a range of personalized services tailored to the unique needs of the family it serves. These services include comprehensive financial planning, estate planning, tax optimization, philanthropy management, and concierge services. The primary mission of KrisDan Management is to ensure the long-term financial stability and growth of the family’s assets while facilitating the transfer of wealth across generations. The firm adopts a holistic approach to wealth management, integrating the family's financial goals with their personal values and lifestyle preferences.",,,
Holdun Family Office,Miami,"$500,000,000.00 ",,https://www.holdun.com/,,Miami,"The Holdun Family Office is a fifth-generation family office founded by the descendants of Sir Herbert Holt, an influential Canadian businessman. Under the leadership of Brendan Holt Dunn, the current CEO, Holdun operates from the Bahamas and offers a broad range of financial services and investment opportunities. They are committed to managing family wealth with a strong emphasis on aligning their investment strategies closely with their clients, ensuring that they invest client money as prudently and responsibly as they do their own. Holdun's investment portfolio is diversified across traditional and non-traditional asset classes, including private equity, venture capital, real estate, and more recently, fintech innovations through their HOLT Xchange platform. They focus on creating a tailored investment experience, promising security, diversification, and attractive returns in an evolving market. Their services extend beyond investment management to include wealth management, estate planning, and corporate services, all designed to cater to the individual needs of their clients while maintaining a personal and detailed approach to each portfolio. They also run some in-house strategies.",,,
Forrestal Capital,Miami,"$500,000,000.00 ",,https://N/A,,Miami,"Forrestal Capital is a family office that invests the assets of three branches of a single family. It was founded in 2003, after the sale of Panamerican Beverages, at the time the largest Coca Cola bottler outside the US, and the principal asset of the family. Forrestal invests its assets in two distinct ways. On the one hand, it invests a portion of its assets through third party managers in both traditional and alternative asset classes. Additionally, it directly invests in companies, either as short to medium term investments, or for the long term, without a view to selling at any particular time. While the portfolio of direct investments spans a number of industries and geographies, it is mostly focused on the consumer and retail areas in Latin America.",,,
Desdemona Capital,Miami,"$500,000,000.00 ",,http://desdemonacapital.com/,,Miami Beach,"Desdemona Capital is a private investment firm based in Miami Beach, Florida, focusing on real estate and private equity investments. Founded in 2000 by Christian Jagodzinski, a former internet entrepreneur, the firm targets investments in sectors such as media, financial services, healthcare, and hospitality. Desdemona Capital serves as a private investment vehicle for Jagodzinski, who leverages his experience from previous ventures, including the early online book retailer Telebook, which was acquired by Amazon. The firm operates across various stages of company development, from early stage to large cap companies, and manages a diverse portfolio including luxury real estate projects and unique ventures like a luxury hotel management company​​​​.",,,
"The Miami Family Office, LLC",Miami,"$500,000,000.00 ",,http://themiamifamilyoffice.com/,,Key Biscayne,"The Miami Family Office is a single family office with a direct investment mandate covering real estate and operating businesses. Originating from the management of a single operating business and its associated properties, the family demonstrated astute business acumen by implementing a deliberate expansion strategy. The initial acquisition of two locations paved the way for a progressive growth trajectory, culminating in the successful management of a notable portfolio encompassing twenty-five different locations. A pivotal juncture in the family's wealth-building narrative occurred when they strategically aligned with a publicly-traded company, forming a partnership that allowed them to acquire an impressive portfolio of 300 locations. This strategic move significantly augmented the family's influence and reach in the market.",,,
Hinsdale LLC,Miami,"$300,000,000.00 ",,https://www.hinsdalellc.com/,,Miami,"Hinsdale LLC is an endowment'style investment partnership. Originally founded in 1992 to invest Pinto family capital, the partnership is managed today by John J. Pinto and Pinto family capital makes up over 85% of assets under management. Hinsdale invests capital with a long-term focus, seeking tax-efficient returns to serve multiple generations of families. We believe in a diversified asset allocation strategy, with appropriately concentrated investments and a small number of top investment managers. We stay clear of mega-pools of capital, and seek to invest in assets, geographies, sectors, and investments strategies that are less well-traveled and are below the scale of large investment managers. Finally, we believe that a thematic or structural tailwind is key to long-term investing, and fervently seek these tailwinds in the areas that we invest. Hinsdale's portfolio is diversified across asset classes, geographies, and strategies, and includes credit, marketable securities, long/short hedge funds, long-only hedge funds, real estate, private equity, and other opportunistic investments. The portfolio is also geographically diverse, a significant portion invested in emerging and frontier markets.",,,
Horsman Holdings,Miami,"$250,000,000.00 ",,http://www.horsmanholdings.com/,,Miami Beach,"Horsman Holdings is a single-family office established to manage the investments of the Horsman family, along with related trusts and insurance companies. The firm primarily focuses on alternative investments, including hedge funds, private equity, real estate, and direct venture opportunities. Horsman Holdings is known for its interest in niche and esoteric strategies, which encompass areas like litigation, agriculture, insurance, and technology. The company was founded by Patrick Horsman and is based in Bay Harbor Islands, Florida. Its investment activities are characterized by a focus on early and expansion stages across a variety of industries, but with a particular emphasis on Internet and IoT sectors​​​​​​.",,,
W5 Group,Miami,"$250,000,000.00 ",,https://w5-group.com/,,Miami Beach,"W5 Group is a single-family investment office that makes innovative investments across residential real estate sectors. W5 Group targets equity, preferred equity, or mezzanine investments of $20 million or greater in ground-up developments and existing assets/portfolios in innovative real estate sectors including multifamily, student housing, single-family rentals, co-living and micro-apartments in major urban and high-growth markets in the United States. Target markets include but are not limited to New York, Boston, Washington, D.C. Miami, and high growth cities in Florida, the Carolinas, Georgia, Texas, Tennessee, and Arizona. W5 Group also runs a Growth equity and Venture capital team which seeks to make investments in companies from early stage to growth equity.",,,
Constellation Associates,Miami,"$250,000,000.00 ",,https://N/A,,Miami Beach,Constellation Associates is a family office looking to invest in alternative investments and direct deals. Puerto Rico based Family,,,
Alvarez & Marsal Family Office,Miami,"$250,000,000.00 ",,https://www.alvarezandmarsal.com/,,Miami,"Alvarez & Marsal Tax has added a family office services practice in Miami. Whether buying, building or exiting an investment, A&M’s integrated due diligence approach helps maximize the value of every transaction. We combine deep industry experience with an integrated financial accounting, tax and operational due diligence approach to identify key considerations and related operational drivers. The result is an informed and quick assessment of deal issues that matter.",,,
Cooper Family Office,Miami,"$250,000,000.00 ",,https://www.cooperfamilyoffice.com/,,Miami,"The Cooper Family Office is a private entity that manages the investments of the Cooper Family of Florida. We do not manage outside capital, nor do we accept non-family member clients. The Cooper Family Office invests globally in hedge funds, private equity and venture funds, in addition to direct investments in operating companies and other private opportunities, including real estate. We maintain a portfolio of early and latter stage start-up ventures. On occasion we consider placing “seed capital” with managers. We co-invest extensively with other Family Offices.",,,
Conscientia Family Office,Miami,"$200,000,000.00 ",,https://www.conscientiafo.com/index.html,,Miami,"Conscientia Family Office is a multi-family office in Miami. CIO, Martin McDermott, is the best person to contact. Martin oversees 8-10 different families - mostly out of Brazil with a mix of US domiciled and offshore money. Each client has their own allocation but will typically allocate about 30% to alts - typical drawdown structure. Clears through Pershing mostly with some JPM.",,,
"LionX Advisors, Corp.",Miami,"$200,000,000.00 ",,https://N/A,,Miami,"Lion X Advisors, is a Single family office (SFO) and a private company that manages investments and trusts for a single family. The company's financial capital is the family's own wealth.",,,
Crystal Family Office,Miami,"$200,000,000.00 ",,http://www.crystalfamilyoffice.com/,,Bay Harbor Islands,"The Crystal Family Office originated as a single family office solution for our founding family, a family of entrepreneurs and innovators in the financial space. As the scope of our family's activities have expanded and the family grows across generations, the organic shift from a business-centric family to a family enterprise begins.",,,
Aceana Group,Miami,"$100,000,000.00 ",,https://N/A,,Key Biscayne,Aceana Group is a single family office based out of Key Biscayne led by Russell Deakin. He serves as the CIO and Managing Partner.,,,
Ligo Partners,Miami,"$100,000,000.00 ",,https://www.ligopartners.com/,,Miami,Ligo Partners is a single family office based in Miami run by Alec Andronikov (Principal) and Cindy Mihalova (Chief Investment Officer).,,,
Muniz Family Office,Miami,"$100,000,000.00 ",,https://www.munizfo.com/,,Miami,"Muniz Family Office was started by Fernando Muniz who is located in Miami. He does a lot of direct real estate deals, but will look at other asset classes as well.",,,
Adi Dassler International Family Office (ADFO),Miami,"$100,000,000.00 ",,https://adifo.net/,,Miami,"Adi Dassler International Family Office (ADIFO™) is a privately owned, independent, registered wealth advisory firm and multi-family office founded by the three sons of Inge Dassler, the oldest daughter of Adi Dassler. ADIFO™ is sharing its experiences, its competence network and its unique and custom solutions with like-minded families and qualified individuals.",,,
Trust Beyond Family Office,Miami,"$100,000,000.00 ",,,,Key Biscayne,"Trust Beyond Corp is a registered investment adviser primarily based in Key Biscayne, Florida.",,,
Weicon Capital,Miami,"$100,000,000.00 ",,http://www.weiconcapital.com/,,Aventura,"Weicon Capital is a family office with committed capital from high net worth individuals across the US. The Company's long standing relationships with its partners, and superior returns on investment, have enabled a high level of flexibility in its investment philosophy. Having invested in dozens of opportunities over the past decade, the partners at Weicon have developed a reputation for being able to deploy capital quickly and efficiently without the hurdles that many larger institutional investors have to jump through.",,,
Accretion Family Office,Miami,"$100,000,000.00 ",,https://www.accretion.capital/,,Miami,Acrecion is a privately held family office founded by the Burillo Family for the purpose of preservation and growth of capital. The firm has strategic and diversified holdings worldwide with a structured jurisdictional and administrative governance. Accretion Capital is the name of the investment group for the family office.,,,
DF Enterprises Inc,Phoenix,"$2,000,000,000.00 ",,http://dfenterprises.net,,Scottsdale,"Single family office of Bennett Dorrance, founding partner of DMB Associates and longest-serving member of Campbell's Board of Directors.",,,
YAM Capital,Phoenix,"$1,000,000,000.00 ",,https://yamww.com/,,Scottsdale,"Based in Scottsdale, Arizona, YAM Worldwide, Inc. is home to the entrepreneurial operations of Bob Parsons, American entrepreneur and philanthropist.",,,
Heritage Family Offices,Phoenix,"$1,000,000,000.00 ",,https://www.heritagefo.com,,Phoenix,"Heritage Family Offices, LLP is a multi-disciplinary firm comprised of Certified Public Accountants, Attorneys, Financial Advisors, Certified Financial Planners, and Insurance Specialists. Our ultimate goal of helping our clients build and preserve wealth is achieved by collectively focusing on Asset Preservation, Financial Planning, and Investment Management through the common lens of Strategic Tax Planning.",,,
Zenfinity Capital,Phoenix,"$500,000,000.00 ",,http://www.zenfinitycapital.com,,Scottsdale,"Zenfinity Capital, LLC (“ZenCap”) is a private investment firm based in Scottsdale, Arizona, committed to identifying, financing, and developing businesses led by promising entrepreneurs and operators. ZenCap was founded by Kevin R. Easler, a serial entrepreneur with over 25 years of retail and marketing experience, and co-founder of Sprouts Farmers Market, Inc. (Nasdaq:SFM). Their typical investment size ranges from $100,000 to +$30M. ZenCap explores both debt and equity financing, and our investments span across all stages of a company life cycle. While we invest in a number of industries, one theme is common: ZenCap portfolio companies are tied to the “good for you” business. Our focus is companies in spaces that are green, healthy, eco-conscious, sustainable, etc. – in short, good for you. We also expect our portfolio companies to give back through planned philanthropy efforts. Simply, ZenCap is a strategic partner with an interest for the greater good of the whole, and will do whatever is needed to ensure that our portfolio companies exceed expectations.",,,
Timothy T. Day Family Office,Phoenix,"$250,000,000.00 ",,https://tdayfoundation.org/about-us/day-family-office-team/,,Phoenix,"The Timothy T. Day Family Office was established on January 6, 2011, to oversee a wide range of family-related activities and affairs.",,,
SunChase Holdings,Phoenix,"$200,000,000.00 ",,http://www.sunchaseholdings.com/investments/,,Scottsdale,"SunChase is a Single Family Office providing investment management, estate and tax planning. Our deep bench manages a value driven portfolio covering all asset classes. We research, we analyze, and we protect wealth. Our team consists of a CPA, a CFA Charterholder, and seasoned back office professionals. As a Qualified Institutional Buyer, we have access to some of the industry's brightest advisors, fund managers and market strategists. We utilize these relationships to complement our in-house strategies.",,,
10T Holdings,Hartford,"$1,200,000,000.00 ",,https://www.10tfund.com/index.html,,Greenwich,"10T is a mid to late stage growth equity fund that invests in private companies operating in the digital asset ecosystem. They are a Defi investment platform. 10T invests in ""picks and shovels"" businesses that enable public and corporate blockchains to operate and interface with consumers and existing systems. 10T was founded in 2020 and currently manages $1.2Bn in committed capital.",,,
Liberty Group,Tampa,"$1,000,000,000.00 ",,https://www.libertyg.com/,,Tampa,Liberty Group is a single-family office for the Shah family founded by Raxit Shah originally as a commercial real estate investment firm and is an investment platform looking to preserve and diversify capital.,,,
Hall Capital Holdings,Tampa,"$1,000,000,000.00 ",,https://hallcapitalllc.com/,,Palm Harbor,"Hall Capital Holdings was founded in 2001 by our managing member Bill Hood. Over the past two decades, Hall Capital Holdings has expanded into its current position; a multi-faceted, private investment office backed by patient, long-term, family capital. We are not only capital providers, but a team of operators who look for businesses we understand and can add value to. Being a family office gives us the opportunity to invest without the obligation to fulfill limited partners investment needs, allowing for a “no-rush” investment way of thinking.",,,
HFO Investments,Tampa,"$500,000,000.00 ",,,,Tampa,"Single Family Office located in Tampa, Fl specializing in real estate development, early stage private equity investment, and operational management of portfolio entities.",,,
MPI Family Office,Tampa,"$250,000,000.00 ",,https://mpifamilyoffice.com/,,St Petersburg,"MPI Family Office is a single family office based in St. Petersburg, FL with an office in Pittsburgh, PA. They invest in private equity, venture capital opportunities, hedge funds, and commercial real estate.",,,
DKE Family Office,Tampa,"$250,000,000.00 ",,https://www.dkeinc.com/,,Venice,"DKE, Inc. traces its history to 1950 when our founder, Dale K. Ehrhart, began a program of writing covered calls against blue chip common stocks in individual managed accounts to enhance the income produced by the clients' equity holdings. DKE was formally organized to serve as his family office in Venice, Florida, where we continue to operate today. DKE's tradition of individualized service continues today under the ownership of Michael T. Hartley, CFP®, AAMS (Chairman and CEO and a member of the DKE management team since 1985).",,,
Vinik Family Office LLC,Tampa,"$200,000,000.00 ",,https://N/A,,Tampa,"Broad mandate includes direct investments, co-investments and fund investments focused on both operating businesses and real estate.",,,
"Third Lake Capital, LLC",Tampa,"$127,170,000.00 ",,http://www.thirdlake.com/,,Tampa,"TLC, established in 2013, is a distinguished investment firm functioning as a single family office dedicated exclusively to managing the capital of a Forbes 400 family. This family, revered as the founders and current owners of one of the largest privately held companies globally, entrusts TLC with the strategic deployment of their wealth. TLC operates as a pivotal player in the financial landscape, concentrating its efforts on a comprehensive range of investment activities designed to maximize returns and foster sustainable growth.",,,
Hestia Holdings,Tampa,"$100,000,000.00 ",,https://hestiainv.com/,,Tampa,"Hestia Holdings is a private investment vehicle focused on opportunistically investing in Real Estate, Pre-IPO, Private Credit and Private Equity.",,,
Questmont The Virtual Family Office,Tampa,"$100,000,000.00 ",,https://questmontvfo.com/,,Tampa,"Questmont Virtual Family Office (VFO) serves high-net-worth individuals with complex financial needs, focusing on fiduciary services that prioritize clients' interests. Founded by Taylor Ranker II, Questmont offers sophisticated investment techniques and advanced planning. Core values include family support, authenticity, creativity, and empowerment. They provide comprehensive services tailored to the unique needs of business owners and entrepreneurs, ensuring informed decision-making and personalized financial strategies.",,,
Athlon Family Office,Tampa,"$100,000,000.00 ",,https://www.athlonfo.com,,Tampa,"Athlon Family Office is a family office specializing in working with athletes based in Tampa, Florida. Athlon collaborates with another family office, the Adi Dassler International Family Office, for their private wealth advisory services. Athlon is also a partner of the Legends Advocates Sports Group.",,,
Ballast Point Capital,Tampa,"$100,000,000.00 ",,https://ballastpointcapital.com/,,Tampa,"Based in Tampa, Florida, Ballast Point Capital, LLC (“BPC”) is a well capitalized, high growth private investment firm and single family office focused on capital preservation, significant wealth generation and long term value creation with allocations across a wide variety of asset classes and investment strategies, including public and private equities, M&A, fixed income, commodities, derivatives, futures, alternatives and real estate. BPC manages the investments on behalf of the Theofilos Family.",,,
AK Private Capital,Tampa,"$100,000,000.00 ",,https://N/A,,Tampa,"AK Private Capital is a Single Family Office located in Tampa. The Firm allocates capital to external investment managers, invests directly in publicly traded securities and real estate, and seeks other opportunistic investment opportunities. Dan Greenblatt leads the fund portfolio where he covers all asset classes, and really interested in tax efficient yielding ideas. They will look at RE Debt funds, but not so much on the equity side as the family currently owns a lot of buildings in the Tampa area.",,,
Clearwell Group,Tampa,"$100,000,000.00 ",,https://clearwellgroup.com/,,Tampa,"They partner with leaders of established businesses that require capital to support the partial or full sale of their business. Their financial and human capital is deployed to support recapitalizations, management buyouts, and industry consolidations. They are committed to building lasting and well-capitalized businesses. Invest in commercial, industrial, and multi-family residential properties with a strong preference for opportunities located in the state of Florida.",,,
SunGate Capital,Orlando,"$500,000,000.00 ",,,,Winter Park,"SunGate Capital, LLC is a single-family office that takes a nontraditional approach to private equity investing. Our permanent capital base, coupled with a multi-generational time horizon, enables us to have a flexible, long-term investment philosophy. SunGate Capital was founded in 2008 and is headquartered in Winter Park, Florida.",,,
Springlake Partners,Orlando,"$500,000,000.00 ",,https://springlakepartners.com/,,Orlando,"Springlake Partners is a family office with a collection of specialized operating platforms and select investments in the real estate, financial services and hospitality sectors. Through our relationship-based approach, we seek to create and grow companies that pursue unique strategies in the marketplace.",,,
Ginsburg Family Office,Orlando,"$250,000,000.00 ",,https://www.ginsburgfamilyfoundation.org/,,Winter Park,Ginsburg Family Office is a Single Family Office firm for Alan Ginsburg's family.,,,
The Kings Counsel & Trust Family Office,Orlando,"$200,000,000.00 ",,http://kingscounselandtrust.com/,,Orlando,KCTFO is a single family office designed specifically to serve and enhance the relationships of the Kingdom Family of Faith (KCT Family Members).,,,
Hanover Capital Partners,Orlando,"$125,000,000.00 ",,http://www.hanovercap.com/,,Orlando,"Hanover Capital Partners is a family private equity company with extensive experience in residential, commercial and resort land development. Currently, the company has operations in the six-county Central Florida market and in Western North Carolina. The company has become one of the largest residential merchant land developers in Central Florida. Hanover is currently developing and/or controls more than 5,000 residential lots and actively markets to both public and large private builders. The firm is also an active investor in commercial real estate as well as in a large scale resort community in North Carolina.The leadership team of Hanover Capital Partners has achieved unparalleled success in Central Florida dating back to 1980’s when William Orosz Jr. arrived in Orlando. Since that time, the team’s achievements include constructing over 25,000 homes, developing over 10,000 residential lots and contributing over $5,000,000 in philanthropic donations through the Orosz Family Foundation. Hanover’s local presence combined with their 35 year track record of excellence, proficiency, and skill will continue to inspire opportunities for generations.",,,
Black Mammoth,Des Moines,"$500,000,000.00 ",,https://www.blackmammoth.com/,,Ankeny,"Black Mammoth is a wealth management firm that offers a comprehensive suite of financial services. Emphasizing a holistic approach, the firm provides tailored financial planning, investment management, and family office services. Their goal is to help clients achieve financial freedom and prosperity through personalized and strategic financial solutions.",,,
Grit Family Office,Des Moines,"$78,870,000.00 ",,https://www.gritfo.com/,,Cedar Rapids,"Grit Family Office is a dedicated wealth management firm based in Cedar Rapids, Iowa. Established to serve the complex financial needs of high-net-worth families and individuals, the firm offers a comprehensive suite of services designed to simplify and enhance clients' financial lives. Grit Family Office emphasizes the values of humility and hard work, providing tailored financial solutions that ensure the preservation and growth of wealth across generations. The firm’s holistic approach integrates various aspects of financial management, including asset management, financial planning, tax services, legal advice, insurance, and banking, all aimed at delivering exceptional value and support to its clients.",,,
Asena Family Office,West Palm,"$10,000,000,000.00 ",,https://asenaadvisors.com/,,West Palm Beach,"Asena Family Office is a multi family office with offices in Palm Beach, Melbourne and New Delhi, supporting offices with more than $10B in net worth. Asena offers comprehensive financial and asset management services including in investment management, deal advisory, tax planning and estate planning.",,,
Castle Island Family Office,West Palm,"$3,500,000,000.00 ",,https://castleislandfamilyoffice.com/,,West Palm Beach,"Castle Island Family Office is a premier wealth management firm dedicated to providing bespoke financial advisory services to high-net-worth individuals, families, and institutions. The firm is committed to helping clients achieve their financial objectives through personalized and comprehensive solutions that encompass investment management, estate planning, tax advisory, and strategic financial planning. Castle Island Family Office is known for its client-centric approach, ensuring that each client's unique financial goals and values are thoroughly understood and addressed. The firm's philosophy is built on principles of integrity, excellence, and long-term partnership, fostering enduring relationships with clients and guiding them toward sustained financial success and security.",,,
Goodrich Family Office,West Palm,"$1,000,000,000.00 ",,https://N/A,,West Palm Beach,"Goodrich Family Office is a single-family office based in West Palm Beach, Florida. The firm provides financial planning, investment management, portfolio management, tax advisory, and fiduciary services. The assets of the firm are managed by the executive management team.",,,
The Castellano Group,West Palm,"$500,000,000.00 ",,https://www.thecastellanogroupllc.com/,,Palm Beach,The Castellano Group is a private family office located in Palm Beach and New York investing in private placements and alternative investments.,,,
Palm Equity,West Palm,"$500,000,000.00 ",,https://palmequity.com/,,West Palm Beach,"Palm Equity is a private investment management firm that specializes in complex, multi-asset investment solutions rooted in institutional asset allocation, advanced portfolio construction and the identification of emerging manager talent. Headquartered in West Palm Beach, Florida, Palm Equity is entirely employee-owned.",,,
Greenway Wealth Management,West Palm,"$300,000,000.00 ",,https://N/A,,Palm Beach Gardens,"To us, the greenway embodies what we want to be as a firm: We offer our clients a place to slow down, discuss, and plan their financial future, helping to put them in a position to maximize their impact and ensuring they have the financial flexibility to make meaningful life choices.",,,
The Fried Family Office LLC,West Palm,"$200,000,000.00 ",,https://N/A,,Palm Beach,"The Fried Family Office is a Palm Beach, Florida-based single family office for the The Fried Family.",,,
Poinciana Capital,West Palm,"$181,871,252.00 ",,https://poincianacapital.com,,West Palm Beach,Poinciana Capital is a family office located in West Palm.,,,
"Foxhill Capital Partners, LLC",West Palm,"$151,190,273.00 ",,https://WWW.FOXHILLCAPITAL.COM,,Jupiter,"Foxhill Capital Partners, founded in 2005, is an SEC registered event driven firm with particular expertise in distressed and special situations. Our flagship fund, the Foxhill Opportunity Fund, L.P. was launched January 2006. Our fundamental research process is based on over 25 years experience managing hedge funds.",,,
Trog Hawley Capital,West Palm,"$100,000,000.00 ",,https://troghawley.com/,,West Palm Beach,"Trog Hawley Capital is a single family office based in West Palm Beach with services in investment management, private banking, and tax compliance. Trog Hawley Capital invests across a wide range of asset classes including public equity, private equity, real estate, venture capital, and fixed income.",,,
